,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
130,CBS News,"“I think the stories of things that happened a long time ago are very important,” @jodikantor says.  “These are the… https://t.co/bHoIrGXdLR",Tue Dec 19 13:40:23 +0000 2017,0.0,0.0,1.0,0.0,70
131,CBS News,Florida's Department of Health is looking into claims that a Gulf Coast school has made hundreds of people sick fro… https://t.co/O5hkf8zDS9,Tue Dec 19 13:40:01 +0000 2017,-0.5106,0.0,0.852,0.148,69
132,CBS News,"“I think this country … is having a real reckoning,” @mega2e says of #MeToo movement https://t.co/VKXViohCk1",Tue Dec 19 13:37:23 +0000 2017,0.0,0.0,1.0,0.0,68
133,CBS News,2017 will likely be remembered as the year victims shattered the silence around sexual misconduct. @CBSThisMorning… https://t.co/p36noq5t5v,Tue Dec 19 13:33:59 +0000 2017,-0.6597,0.0,0.735,0.265,67
134,CBS News,A recent study found people who do strength-based exercise have a 23% lower risk of premature death. It also reduce… https://t.co/h4vRsyLR0O,Tue Dec 19 13:20:52 +0000 2017,-0.802,0.0,0.661,0.339,66
135,CBS News,Four days remain before the deadline to keep the government funded and avoid a shutdown; lawmakers are at odds over… https://t.co/QorPHNuruw,Tue Dec 19 13:20:01 +0000 2017,-0.296,0.0,0.896,0.104,65
136,CBS News,"“Whatever President Trump is good at, compartmentalizing ain’t it. It’s always on his mind,” @mikeallen says of spe… https://t.co/u2Ft3fRqVC",Tue Dec 19 13:16:41 +0000 2017,0.4404,0.139,0.861,0.0,64
137,CBS News,"The president is finishing his first year in office, and two influential political reporters say little has changed… https://t.co/p4v7YQ2iGn",Tue Dec 19 13:12:18 +0000 2017,0.4404,0.139,0.861,0.0,63
138,CBS News,President Trump says that Monday's crash shows the need for increased infrastructure investments. The tracks where… https://t.co/YUcM0n4lpZ,Tue Dec 19 13:06:03 +0000 2017,-0.1531,0.106,0.758,0.136,62
139,CBS News,An Amtrak train was going 80 mph -- nearly 3 times the speed limit -- when it derailed in Washington state:… https://t.co/XLYNg680CX,Tue Dec 19 13:05:26 +0000 2017,-0.34,0.0,0.893,0.107,61
